1,民生银行民生加银资管同业合作泉州分行1号专项资产管理计划,一对一,2016/1/13,2018/11/13,100000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季付息， 每半年还本300万，剩余到期还本
1,民生银行民生加银资管同业合作泉州分行1号专项资产管理计划,一对一,2016/2/19,2016/4/13,1576999987,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作泉州分行1号专项资产管理计划,一对一,2016/4/8,2016/6/8,1435213652,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作南宁分行1号专项资产管理计划,一对一,2015/11/4,2016/11/4,480000000,0.001,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季付息（计息日至19日），到期还本
1,民生银行民生加银资管同业合作南宁分行1号专项资产管理计划,一对一,2016/2/3,2017/2/1,120000000,0.001,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季付息（计息日至19日），到期还本
1,民生银行民生加银资管同业合作南京分行1号专项资产管理计划,一对一,2015/1/15,2016/12/29,700000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，末月20日
1,民生银行民生加银资管同业合作南京分行1号专项资产管理计划,一对一,2015/1/15,2017/11/11,1000000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，末月20日
1,民生银行民生加银资管同业合作南京分行1号专项资产管理计划,一对一,2015/1/15,2017/11/24,500000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，末月20日
1,民生银行民生加银资管同业合作南京分行1号专项资产管理计划,一对一,2015/1/15,2016/12/29,300000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，末月20日
1,民生银行民生加银资管同业合作南京分行1号专项资产管理计划,一对一,2015/1/16,2017/11/16,150000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，末月20日
1,民生银行民生加银资管同业合作南京分行1号专项资产管理计划,一对一,2015/1/16,2016/12/26,300000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，末月20日
1,民生银行民生加银资管同业合作南京分行1号专项资产管理计划,一对一,2015/1/16,2017/11/29,400000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，末月20日
1,民生银行民生加银资管同业合作南京分行1号专项资产管理计划,一对一,2015/1/19,2017/11/16,300000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，末月20日
1,民生银行民生加银资管同业合作南京分行1号专项资产管理计划,一对一,2015/2/9,2017/2/8,280000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，末月20日
1,民生银行民生加银资管同业合作南京分行1号专项资产管理计划,一对一,2015/3/31,2017/3/31,162600000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，末月20日
1,民生银行民生加银资管同业合作南京分行1号专项资产管理计划,一对一,2015/4/29,2020/4/29,500000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，每满3个月的对日，且在第3、4、5年对日提前还款
1,民生银行民生加银资管同业合作南京分行1号专项资产管理计划,一对一,2015/6/4,2025/6/4,583000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，第3年起每年末提前还本
1,民生银行民生加银资管同业合作南京分行1号专项资产管理计划,一对一,2016/3/28,2017/1/26,3000000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,"按季支付，1,4,7,10月26日"
1,民生银行民生加银资管同业合作兰州分行1号专项资产管理计划,一对一,2015/3/25,2018/3/25,1500000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息，到期一次性还款
1,民生银行民生加银资管同业合作昆明分行4号专项资产管理计划,一对一,2016/3/16,2017/3/13,252778500,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作昆明分行3号专项资产管理计划,一对一,2015/5/7,2017/7/24,49086000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，4月、7月……
1,民生银行民生加银资管同业合作济南分行1号专项资产管理计划,一对一,2015/4/27,2016/4/27,37000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，末月20日
1,民生银行民生加银资管同业合作济南分行1号专项资产管理计划,一对一,2015/5/15,2016/5/12,18900000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，末月20日
1,民生银行民生加银资管同业合作呼市分行1号专项资产管理计划,一对一,2015/5/5,2016/5/4,100000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作呼市分行1号专项资产管理计划,一对一,2015/5/29,2016/5/28,30000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作呼市分行1号专项资产管理计划,一对一,2015/6/5,2016/6/3,220000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作呼市分行1号专项资产管理计划,一对一,2015/7/10,2016/7/8,980000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还款
1,民生银行民生加银资管同业合作呼市分行1号专项资产管理计划,一对一,2015/9/17,2016/8/2,100000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季付息，到期还本
1,民生银行民生加银资管同业合作合肥分行1号专项资产管理计划,一对一,2015/5/29,2016/5/30,195470000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，到期还本
1,民生银行民生加银资管同业合作合肥分行1号专项资产管理计划,一对一,2015/6/4,2016/6/3,195500000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，到期还本
1,民生银行民生加银资管同业合作合肥分行1号专项资产管理计划,一对一,2015/6/4,2016/6/3,97750000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季支付，到期还本
1,民生银行民生加银资管同业合作合肥分行1号专项资产管理计划,一对一,2015/10/29,2018/10/16,182000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,10.29资产端起息，按年付息，到期还本（可提前部分还本）
